609	occured	occurred
524	succesful	successful
452	overriden	overridden
266	seperate	separate
225	seperated	separated
178	compatability	compatibility
171	succesfully	successfully
166	explicitely	explicitly
157	recieve	receive
148	paramter	parameter
142	enviroment	environment
140	recieved	received
139	explictly	explicitly
131	accomodate	accommodate
130	funciton	function
121	programatically	programmatically
112	reponse	response
106	prefered	preferred
106	boostrap	bootstrap
103	accross	across
102	becuase	because
102	informations	information
100	existance	existence
99	usefull	useful
98	lenght	length
98	availabe	available
96	intial	initial
96	successfull	successful
96	bitcon	Bitcoin
93	paramters	parameters
92	intialized	initialized
90	existant	existent
90	ouput	output
86	occurences	occurrences
86	occurence	occurrence
83	retreive	retrieve
81	exmaple	example
79	ressources	resources
78	neccessary	necessary
77	seperator	separator
76	avaiable	available
74	transfered	transferred
74	specifed	specified
72	verison	version
72	begining	beginning
72	defintion	definition
72	verion	version
72	lastest	latest
71	funtion	function
71	defaut	default
70	defualt	default
69	offical	official
69	preceeding	preceding
69	succesfull	successful
68	behaviour	behavior
68	applicaiton	application
68	nbresult	nResult
67	dependecies	dependencies
67	availble	available
67	langauge	language
67	commited	committed
67	occuring	occurring
66	formated	formatted
65	manualy	manually
64	chosing	choosing
63	implemenation	implementation
63	beeing	being
63	pacakge	package
62	documenation	documentation
61	comparision	comparison
61	sofware	software
61	successfuly	successfully
61	avilable	available
60	shoud	should
59	infomation	information
59	recieves	receives
59	combnation	combination
59	miinupnpc	miniupnpc
58	heirarchy	hierarchy
58	enviornment	environment
58	unkown	unknown
58	throught	through
58	maxmimum	maximum
57	avaliable	available
57	exectuable	executable
56	psuedo	pseudo
56	dependancies	dependencies
56	appropiate	appropriate
56	conjuction	conjunction
55	seperately	separately
55	propogate	propagate
55	compatiblity	compatibility
54	immediatly	immediately
54	installtion	installation
54	paramenter	parameter
53	wheter	whether
53	sucessfully	successfully
53	developement	development
53	duplcate	duplicate
53	determinstic	deterministic
52	succesfully	Successfully
52	availible	available
52	continous	continuous
52	performace	performance
51	adress	address
51	specifiy	specify
51	paramater	parameter
51	sytem	system
51	lineraize	linearize
51	accroding	according
50	respository	repository
50	publically	publicly
50	retrive	retrieve
50	paramaters	parameters
49	orginal	original
49	ammended	amended
49	futher	further
49	qbittorent	qBittorrent
49	adresses	addresses
48	ommitted	omitted
48	targetting	targeting
48	inital	initial
48	environemnt	environment
48	deamon	daemon
48	runnning	running
47	differnt	different
47	independant	independent
47	booleamn	boolean
46	agains	against
46	extention	extension
46	follwing	following
46	conditon	condition
45	becasue	because
45	runing	running
45	fucntion	function
44	mutliple	multiple
44	mulitple	multiple
44	persistant	persistent
44	recommanded	recommended
44	specifc	specific
44	betweeen	between
44	doesnt	doesn't
44	readble	readable
43	libary	library
43	specifiy	Specify
43	choosen	chosen
43	retreived	retrieved
43	direcotry	directory
43	databse	database
43	alway	always
42	writting	writing
42	propogated	propagated
42	contructor	constructor
42	unneceesarily	unnecessarily
41	recieving	receiving
41	infered	inferred
41	commiting	committing
41	miliseconds	milliseconds
41	preceeded	preceded
41	langauges	languages
41	transation	transaction
41	defintions	definitions
41	defaul	default
40	signle	single
40	extentions	extensions
40	udpate	update
40	varialbe	variable
39	acheive	achieve
39	avaialble	available
39	indicies	indices
39	postion	position
39	determins	determines
39	treshold	threshold
39	farmework	framework
39	adddrman	addrman
39	trival	trivial
38	relase	release
38	intialize	initialize
38	instanciate	instantiate
38	explicity	explicitly
38	stirng	string
38	determin	determine
38	unqiue	unique
38	similiar	similar
37	arbitary	arbitrary
37	sucessful	successful
37	sucess	success
37	precendence	precedence
37	environement	environment
37	dictionnary	dictionary
37	serivce	service
37	additonal	additional
37	addtional	additional
37	serialised	serialized
37	optimizaton	Optimization
37	ideintify	identify
36	supress	suppress
36	additionaly	Additionally
36	writen	written
36	absense	absence
36	acess	access
36	kuberentes	Kubernetes
36	gitiain	gitian
36	tabless	table's
36	violatio	VIOLATION
35	maintainance	maintenance
35	managment	management
35	destory	destroy
35	implemention	implementation
35	happend	happened
35	contianer	container
34	compatability	Compatibility
34	repsonse	response
34	instnace	instance
34	continously	continuously
34	libaries	libraries
34	containg	containing
34	embeded	embedded
34	targetted	targeted
34	ommited	omitted
34	ropository	repository
33	reciever	receiver
33	neccesary	necessary
33	deafult	default
33	brower	browser
33	accessable	accessible
33	refering	referring
33	identifer	identifier
33	syncronization	synchronization
33	priviledged	privileged
33	shoudl	should
33	envrionment	environment
33	explaination	explanation
33	recude	reduce
32	priviledges	privileges
32	arguements	arguments
32	dependecy	dependency
32	thats	that's
32	containes	contains
32	instace	instance
32	refered	referred
32	compability	compatibility
32	aquire	acquire
32	convertion	conversion
32	decription	description
31	aditional	Additional
31	documention	documentation
31	preferrably	preferably
31	depedencies	dependencies
31	comand	command
31	arugment	argument
31	requried	required
31	implicitely	implicitly
31	intall	install
31	exemple	example
30	preferrable	preferable
30	fuction	function
30	timout	timeout
30	compatibilty	compatibility
30	framwork	framework
30	documenation	Documentation
30	intergration	integration
30	retrive	Retrieve
30	tranactions	transactions
30	aditional	additional
30	overide	override
29	colums	columns
29	commiting	Committing
29	completly	completely
29	tempalte	template
29	retrived	retrieved
29	successfullly	successfully
29	unecessary	unnecessary
29	enpoint	endpoint
29	inteface	interface
29	curently	currently
29	recomended	recommended
29	analagous	analogous
29	incomming	incoming
29	retuns	returns
29	occurrances	occurrences
29	oktetovolumname	oktetoVolumeName
28	configuraiton	configuration
28	perfomance	performance
28	exisiting	existing
28	minumum	minimum
28	configuation	configuration
28	convinience	convenience
28	improssible	impossible
28	developpers	developers
28	shadowrenderer	shallowRenderer
27	avialable	available
27	recomend	recommend
27	instalation	Installation
27	represenation	representation
27	refernce	reference
27	insted	instead
27	middlware	middleware
27	commerical	commercial
27	wihtout	without
27	uncommited	uncommitted
27	ouputs	outputs
27	asyncronously	asynchronously
26	commmand	command
26	asyncronous	asynchronous
26	continous	Continuous
26	boostrap	Bootstrap
26	desireable	desirable
26	inheritence	inheritance
26	capabilites	capabilities
26	messsage	message
26	overriden	Overridden
26	contraints	constraints
26	inadvertantly	inadvertently
26	visiblity	visibility
26	retreive	Retrieve
26	hightlight	highlight
26	persistance	persistence
26	kubenetes	Kubernetes
26	diferent	different
26	acces	access
25	funtions	functions
25	coresponding	corresponding
25	resouce	resource
25	unsuccesful	unsuccessful
25	untill	until
25	initalize	initialize
25	erros	errors
25	intented	intended
25	mutiple	multiple
25	presense	presence
25	necesary	necessary
25	thier	their
25	verson	version
25	intialize	Initialize
25	optionaly	optionally
25	guarentees	guarantees
25	rawtranscation	rawtransaction
25	intalled	installed
25	ressource	resource
25	initalized	initialized
25	contraint	constraint
24	emtpy	empty
24	implmentation	implementation
24	proces	process
24	compliation	compilation
24	specificed	specified
24	underlaying	underlying
24	explict	explicit
24	arugments	arguments
24	incremeting	incrementing
24	specifing	specifying
24	evironment	environment
24	configration	configuration
24	reccomended	recommended
24	enought	enough
24	servier	server
24	elimates	eliminates
23	souce	source
23	reccommended	recommended
23	guarenteed	guaranteed
23	serveral	several
23	optionnal	optional
23	instanciated	instantiated
23	intead	instead
23	postive	positive
23	supressed	suppressed
23	recieve	Receive
23	formating	formatting
23	specfied	specified
23	maintanance	maintenance
23	requries	requires
23	usefull	Useful
23	statment	statement
23	attemps	attempts
23	recieved	Received
23	feburary	February
22	enviroments	environments
22	folowing	following
22	convinient	convenient
22	occurance	occurrence
22	instalation	installation
22	varaible	variable
22	tranformation	transformation
22	alredy	already
22	registery	registry
22	intance	instance
22	datbase	database
22	dockefile	Dockerfile
22	soruce	source
22	kuberentes	kubernetes
22	intructions	instructions
21	fileds	fields
21	packge	package
21	propery	property
21	proccess	process
21	passowrd	password
21	tranform	transform
21	pipline	pipeline
21	contaner	container
21	accesible	accessible
21	demostrates	demonstrates
21	allready	already
21	expresion	expression
21	temrinal	terminal
21	locahost	localhost
21	commnad	command
21	implments	implements
21	developping	developing
21	inteded	intended
21	transfering	transferring
21	propogation	propagation
21	metdata	metadata
21	beahvior	behavior
21	retreives	retrieves
21	ubutntu	Ubuntu
21	classe	class
21	automaticaly	automatically
21	unsupportedt	UNSUPPORTED
20	maintaners	maintainers
20	resposne	response
20	orignal	original
20	serie	series
20	depricated	deprecated
20	vaild	valid
20	numer	number
20	parition	partition
20	relevent	relevant
20	exisitng	existing
20	flexiblity	flexibility
20	arguement	argument
20	mehtod	method
20	propably	probably
20	conection	connection
20	invokation	invocation
20	obejct	object
20	libarary	library
20	budled	bundled
20	assignement	assignment
20	betwen	between
20	actuall	actual
20	reqeusts	requests
20	emitupdats	emitUpdates
20	defalut	default
20	metadadata	metadata
20	automaticly	automatically
20	shold	should
20	tetss	tests
20	numberic	numeric
20	direcitves	directives
20	applicaition	application
20	hanlde	handle
19	varaibles	variables
19	improvments	improvements
19	direclty	directly
19	protocl	protocol
19	caculate	calculate
19	somthing	something
19	resouces	resources
19	funcion	function
19	possiblity	possibility
19	retreiving	retrieving
19	pacakges	packages
19	tranlate	translate
19	specifiying	specifying
19	guidlines	guidelines
19	convience	convenience
19	compatiable	compatible
